id,name,ig_followers,ig_handle,category,subcategory,location
50327,Amala Paul,5661952,amalapaul,Arts,"Acting, Pro (TV / Series)",Aluva
142,Shashikala Chaurasiya,1156694,ammakithaali,Food ,Cooking & Recipes,Allahabad
2042,Amaira Shahnawaz,909451,a4amaira,Entertainment,Singing & Music Videos,Allahabad
34614,Shreshtha Singh & Utkarsh Yadav,363721,foodiecouple_us,Food ,Cooking & Recipes,Allahabad
21707,Akash Mishra,312633,akash.kivani,Entertainment,Fun-Content,Allahabad
9934,Vedhika,303117,vedhikajain04,Beauty,Skin-Care,Allahabad
21724,Divyanshu Tiwari,271699,divyanshutiwari.13,Comedy & Memes,Funny Shorts,Allahabad
4375,Khushi Dubey,256261,spinxo_khushi,Entertainment,Entertaining Dance Videos,Allahabad
45215,Bheem Yadav,236764,mangarhwala,Travel & Places,City-focused Content,Allahabad
21721,Anand Singh,100780,anandsingh_77,Comedy & Memes,Funny Shorts,Allahabad
5394,Aadil,90293,aadilmusic__,Entertainment,Singing & Music Videos,Allahabad
20034,Isha Singh,64237,incredible_isha12,Lifestyle & Living,Product Reviews / Shopping,Allahabad
19004,Karan Pandit,44076,mr_____brand_,Lifestyle & Living,Personal Vlogs,Allahabad
28283,Ishaan Bhalla,34205,ishaanbhalla28,Lifestyle & Living,Personal Vlogs,Allahabad
10082,Medha Sharma,29258,_medhasharma_,Travel & Places,Travel & Food Photography,Allahabad
42089,Rana Up70,22910,rana.up70,Entertainment,Info-tainment,Allahabad
4434,Mohd Amaan,18968,amaan_rocker,Lifestyle & Living,Personal Vlogs,Allahabad
23132,Ayushtri Pathi,16596,daredevil_editzz_7089,Lifestyle & Living,Personal Vlogs,Allahabad
5086,Mohd Ayaan,12679,ayaan_cool_,Lifestyle & Living,Personal Vlogs,Allahabad
49594,Abhi Deeksha Bhadoriya,10756,fashionable_deeksha,Lifestyle & Living,Personal Vlogs,Allahabad
38361,Bela Kheradiya,178255,bela_kheradiya,Beauty,Makeup & Cosmetics,Ahmedabad
41867,The Soni,176296,thee_soni,Beauty,Skin-Care,Ahmedabad
37758,Twisha Patel,164930,twishaaapatel,Entertainment,Fun-Content,Ahmedabad
43865,Simmy Makwana,164369,simmymakwana,Beauty,Makeup & Cosmetics,Ahmedabad
26516,Rj Harsh,164085,iamrjharsh,Lifestyle & Living,Personal Vlogs,Ahmedabad
2460,Abhinisha Zubin Ashara,160765,abhinisha22,Fashion,Style & Grooming,Ahmedabad
9380,Heena Verma,159957,heena_vermaa,Lifestyle & Living,Personal Vlogs,Ahmedabad
41016,Srushti,148764,srushtishahdance,Entertainment,Entertaining Dance Videos,Ahmedabad
44431,Rakesh Purohit,147546,hungryahmedabadi,Lifestyle & Living,Personal Vlogs,Ahmedabad
26294,Isteeyak Khan,147177,isteeyak_khan64,Comedy & Memes,Funny Shorts,Ahmedabad
8827,Mona Choudhary,146845,maths_masala,Education,School/College Curriculum,Ahmedabad
44699,Deeshan Purohit,139636,deeshanpurohit,"Family, Kids & Pets",Family / Couple Vlogs ,Ahmedabad
54474,Prachi Chavda,138001,prachichavda,,,Ahmedabad
44743,Jayas,136442,artsyjayas,Arts,Sketching & Painting,Ahmedabad
32890,Awesome Amdavad,136117,awesome.amdavad,Community Pages,City-focused Content,Ahmedabad
46713,Abhijeet Satani,132203,abhijeetsatani,Health,Mental Wellness / Self-Care,Ahmedabad
9531,Himadri Dave,129250,himadri.dave,Lifestyle & Living,Personal Vlogs,Ahmedabad
28910,Rj Harshil,128273,rjharshil,Entertainment,Fun-Content,Ahmedabad
4381,Nimesh Brahmbhatt,127815,king_of_barot_1459,Entertainment,Fun-Content,Ahmedabad
26373,Dhara,125916,dhara_dd,Lifestyle & Living,Personal Vlogs,Ahmedabad
36022,Nikhil Kumar,745521,nikhilkumar_arvn,Entertainment,Fun-Content,Alwar
48229,Yogi Yogendra,125130,technicalyogi,Tech,Gadget Reviews & Unboxing,Alwar
4168,Anishi Gupta,100698,houseofhoney_._,Lifestyle & Living,Personal Vlogs,Alwar
51689,Pooja Gujjar,58927,poojaroy3439,Entertainment,Singing & Music Videos,Alwar
5559,Himani Sharma,37246,himanisharma455,Lifestyle & Living,Personal Vlogs,Alwar
5560,Hasim āklēēmpūr,33414,rj__02__tiger,Comedy & Memes,Viral & Memes,Alwar
23115,Ankahi Baatein,20544,bickey_ki_ankahi_baatein,Lifestyle & Living,Personal Vlogs,Alwar
42731,Sakshi Tanwar,18268,sakshitanwar4,Arts,"Acting, Pro (Movies)",Alwar
18865,Sahil Arneja,17277,sahilarneja_official,Lifestyle & Living,Personal Vlogs,Alwar
39374,Maroof,16474,yahan.wahan,Photography / Videography,Street / People Photography,Alwar
49593,Shalini Yadav,16146,unforgettwble_shalini,Lifestyle & Living,Product Reviews / Shopping,Alwar
1654,𝙑𝘼𝙉𝙎𝙃𝘼𝙆 𝙎𝙃𝘼𝙍𝙈𝘼,11882,vanshakcity,Entertainment,Fun-Content,Alwar
31526,Maninder Singh,1936389,maninder_mani01,Entertainment,Feel-Good News / Stories,Ambala
27296,Suman Chauhan,465566,sumanhealthcity,Fitness,Training & Fitness,Ambala
